Time(s)	Displ(microns)	Friction	Effective_Normal_stress(MPa)
11745.874000	10007.475136	0.607995	19.958007
11745.875000	10007.604441	0.607459	19.977460
11745.876000	10007.637015	0.608318	19.953430
11745.877000	10008.068311	0.607563	19.970136
11745.878000	10007.104506	0.607147	19.976262
11745.879000	10007.794724	0.607102	19.981099
11745.880000	10008.191784	0.606913	19.982838
11745.881000	10008.492067	0.607598	19.966124
11745.882000	10007.938470	0.607562	19.964629
11745.883000	10007.965982	0.607852	19.961303
11745.884000	10008.709381	0.607652	19.961723
11745.885000	10007.845979	0.608116	19.962531
11745.886000	10008.472590	0.608395	19.956566
11745.887000	10008.351109	0.608311	19.946153
11745.888000	10008.664940	0.607911	19.954910
11745.889000	10008.328074	0.607734	19.955185
11745.890000	10008.682072	0.607772	19.950966
11745.891000	10008.346890	0.608525	19.935786
11745.892000	10009.173789	0.607953	19.954612
11745.893000	10009.313855	0.608334	19.957916
11745.894000	10009.033065	0.608855	19.949174
11745.895000	10009.847371	0.608890	19.950349
11745.896000	10009.539086	0.609031	19.952805
11745.897000	10009.644740	0.609061	19.947510
11745.898000	10009.663580	0.609109	19.950471
11745.899000	10010.214186	0.608574	19.952354
11745.900000	10009.589312	0.608433	19.956436
11745.901000	10009.594732	0.608204	19.965712
11745.902000	10009.751699	0.608419	19.965125
11745.903000	10010.078136	0.608334	19.961242
11745.904000	10010.329268	0.608613	19.957481
11745.905000	10010.291111	0.608303	19.962782
11745.906000	10010.630033	0.608020	19.970114
11745.907000	10010.872033	0.608399	19.957687
11745.908000	10010.793396	0.608465	19.963767
11745.909000	10010.827358	0.608638	19.959113
11745.910000	10010.797832	0.608410	19.958419
11745.911000	10010.630739	0.608388	19.968107
11745.912000	10011.079277	0.608338	19.976407
11745.913000	10010.985584	0.608837	19.963370
11745.914000	10011.078076	0.607959	19.976560
11745.915000	10011.219991	0.608614	19.959090
11745.916000	10011.214502	0.608706	19.961738
11745.917000	10011.559669	0.608679	19.951660
11745.918000	10011.580560	0.608820	19.952050
11745.919000	10012.249275	0.608977	19.939623
11745.920000	10011.900739	0.608508	19.950287
11745.921000	10012.302390	0.608693	19.950341
11745.922000	10012.450748	0.609034	19.942453
11745.923000	10012.178319	0.608956	19.960097
11745.924000	10012.814356	0.609485	19.942247
11745.925000	10012.626634	0.609334	19.946549
11745.926000	10013.132403	0.608638	19.966002
11745.927000	10012.506302	0.608226	19.965712
11745.928000	10012.931444	0.608486	19.947190
11745.929000	10012.944169	0.608072	19.949997
11745.930000	10013.032541	0.607689	19.955437
11745.931000	10013.420018	0.607458	19.957855
11745.932000	10012.992413	0.607443	19.961600
11745.933000	10012.709715	0.607808	19.960883
11745.934000	10013.268637	0.607699	19.962531
11745.935000	10013.612360	0.607715	19.963134
11745.936000	10013.534805	0.607398	19.962386
11745.937000	10013.554562	0.607323	19.962493
11745.938000	10013.779329	0.607067	19.965590
11745.939000	10013.854184	0.606759	19.968832
11745.940000	10013.432449	0.607118	19.956405
11745.941000	10013.443982	0.607196	19.969450
11745.942000	10014.336923	0.607773	19.954475
11745.943000	10014.285963	0.608093	19.945954
11745.944000	10014.084667	0.608439	19.943689
11745.945000	10014.707769	0.608336	19.947999
11745.946000	10014.354190	0.608311	19.952072
11745.947000	10014.560562	0.608676	19.945367
11745.948000	10015.011539	0.608684	19.947602
11745.949000	10014.640666	0.608291	19.947038
11745.950000	10014.802423	0.607998	19.953812
11745.951000	10015.370556	0.608400	19.960860
11745.952000	10015.349856	0.608565	19.951844
11745.953000	10015.381428	0.608642	19.952004
11745.954000	10015.413210	0.608502	19.953720
11745.955000	10016.296872	0.608338	19.962752
11745.956000	10015.411422	0.608866	19.952568
11745.957000	10015.915351	0.608405	19.958320
11745.958000	10016.020141	0.607714	19.973180
11745.959000	10015.844393	0.607448	19.966437
11745.960000	10016.131179	0.607020	19.968176
11745.961000	10016.149509	0.607172	19.964011
11745.962000	10015.791332	0.606989	19.970114
11745.963000	10016.533157	0.607180	19.966917
11745.964000	10015.926049	0.607405	19.966017
11745.965000	10016.297152	0.607039	19.967070
11745.966000	10016.506185	0.607021	19.962188
11745.967000	10016.707591	0.607073	19.960280
11745.968000	10016.681710	0.607088	19.965178
11745.969000	10015.876198	0.607280	19.952683
11745.970000	10016.653682	0.607201	19.946107
11745.971000	10017.010463	0.607615	19.941561
11745.972000	10017.458556	0.607961	19.948510
11745.973000	10017.415208	0.608345	19.942529
11745.974000	10017.624747	0.608072	19.945749
11745.975000	10017.028740	0.609001	19.934649
11745.976000	10017.482481	0.608945	19.944520
11745.977000	10018.088307	0.608844	19.950394
11745.978000	10017.569614	0.608463	19.953804
11745.979000	10017.689209	0.607981	19.955459
11745.980000	10017.903157	0.607628	19.966574
11745.981000	10017.871954	0.607519	19.969259
11745.982000	10018.486788	0.607796	19.958267
11745.983000	10018.375928	0.607992	19.967131
11745.984000	10018.777360	0.607590	19.981610
11745.985000	10018.239259	0.607504	19.971105
11745.986000	10018.532808	0.607692	19.969610
11745.987000	10018.503609	0.607449	19.981670
11745.988000	10018.604991	0.608083	19.962622
11745.989000	10019.042030	0.607410	19.959396
11745.990000	10018.788584	0.607562	19.951172
11745.991000	10018.573301	0.607281	19.969480
11745.992000	10018.554009	0.608051	19.956741
11745.993000	10019.592518	0.608031	19.959617
11745.994000	10019.498605	0.608321	19.948075
11745.995000	10019.047709	0.608398	19.948968
11745.996000	10019.047436	0.608709	19.944345
11745.997000	10018.880017	0.608797	19.940187
11745.998000	10019.656826	0.608735	19.941316
11745.999000	10019.283246	0.608658	19.946130
11746.000000	10020.089438	0.608263	19.948067
11746.001000	10019.969260	0.608186	19.949708
11746.002000	10020.192067	0.608636	19.958305
11746.003000	10020.357514	0.609144	19.959762
11746.004000	10021.188583	0.608758	19.964446
11746.005000	10020.972423	0.608855	19.966795
11746.006000	10020.588847	0.608930	19.971578
11746.007000	10020.768598	0.608816	19.965025
11746.008000	10021.092906	0.608927	19.966673
11746.009000	10020.356739	0.608226	19.972928
11746.010000	10021.279263	0.607757	19.980130
11746.011000	10021.083336	0.608401	19.956482
11746.012000	10021.268985	0.607642	19.956764
11746.013000	10020.754941	0.608124	19.949410
11746.014000	10021.586453	0.608510	19.941934
11746.015000	10020.816326	0.607753	19.953461
11746.016000	10021.289388	0.607588	19.956848
11746.017000	10021.354404	0.608059	19.944848
11746.018000	10021.926357	0.607806	19.944253
11746.019000	10021.775204	0.607391	19.955498
11746.020000	10021.524536	0.607384	19.946107
11746.021000	10022.028666	0.607686	19.953491
11746.022000	10021.865056	0.607927	19.955810
11746.023000	10022.528837	0.608528	19.946130
11746.024000	10022.790294	0.608568	19.946061
11746.025000	10022.466920	0.608128	19.967139
11746.026000	10022.364966	0.607871	19.970083
11746.027000	10022.390513	0.607894	19.973043
11746.028000	10022.676939	0.608522	19.960143
11746.029000	10023.007727	0.608001	19.967429
11746.030000	10023.259499	0.607767	19.961837
11746.031000	10022.662419	0.607421	19.968794
11746.032000	10022.862898	0.607713	19.970373
11746.033000	10023.270610	0.608270	19.969076
11746.034000	10023.130540	0.608332	19.959640
11746.035000	10023.417903	0.608356	19.954201
11746.036000	10023.958983	0.608590	19.951958
11746.037000	10023.817830	0.608099	19.952751
11746.038000	10023.813081	0.607898	19.956268
11746.039000	10023.602102	0.608048	19.960250
11746.040000	10024.401858	0.608461	19.943864
11746.041000	10024.019336	0.608328	19.944497
11746.042000	10023.886701	0.608620	19.946656
11746.043000	10023.823494	0.608869	19.947510
11746.044000	10024.154832	0.608192	19.952195
11746.045000	10024.582970	0.607894	19.959922
11746.046000	10024.585520	0.608442	19.949082
11746.047000	10024.433669	0.608196	19.953133
11746.048000	10024.606520	0.607896	19.952645
11746.049000	10024.483189	0.608063	19.945336
11746.050000	10024.986128	0.607745	19.957786
11746.051000	10024.976575	0.607997	19.954246
11746.052000	10024.900636	0.608199	19.958511
11746.053000	10025.287080	0.608279	19.957649
11746.054000	10025.842840	0.608352	19.955841
11746.055000	10025.592494	0.608453	19.960647
11746.056000	10025.593969	0.608637	19.962302
11746.057000	10025.483466	0.608619	19.965605
11746.058000	10025.622419	0.608233	19.969374
11746.059000	10026.282765	0.608115	19.964178
11746.060000	10025.679071	0.607713	19.965826
11746.061000	10025.900333	0.607414	19.972020
11746.062000	10026.709693	0.607985	19.971952
11746.063000	10026.096077	0.608546	19.959281
11746.064000	10025.976033	0.608256	19.961890
11746.065000	10025.945759	0.608194	19.955131
11746.066000	10026.358520	0.608631	19.942919
11746.067000	10026.419889	0.608152	19.959899
11746.068000	10026.470545	0.608467	19.947289
11746.069000	10026.862605	0.608072	19.943826
11746.070000	10027.455815	0.607808	19.946442
11746.071000	10027.356273	0.608547	19.937853
11746.072000	10026.565772	0.608972	19.943002
11746.073000	10028.173926	0.608886	19.948197
11746.074000	10027.850584	0.608727	19.953598
11746.075000	10027.169025	0.609127	19.951172
11746.076000	10027.830639	0.608931	19.951348
11746.077000	10027.847196	0.608122	19.963721
11746.078000	10028.381762	0.607590	19.964552
11746.079000	10027.874576	0.607432	19.973310
11746.080000	10027.816764	0.607322	19.975835
11746.081000	10027.838837	0.606992	19.968786
11746.082000	10028.030785	0.607321	19.970403
11746.083000	10028.489823	0.607514	19.978444
11746.084000	10028.555176	0.607288	19.970296
11746.085000	10028.401456	0.607031	19.967680
11746.086000	10028.776051	0.607565	19.962737
11746.087000	10028.496215	0.607410	19.967245
11746.088000	10028.731159	0.607411	19.962279
11746.089000	10028.538503	0.607244	19.955704
11746.090000	10028.743200	0.607606	19.944452
11746.091000	10029.046602	0.607235	19.954445
