Time(s)	Displ(microns)	Friction	Normal_stress(MPa)
11745.262000	9986.277000	0.607743	19.944909
11745.263000	9986.282000	0.608161	19.949326
11745.264000	9986.515000	0.607838	19.953293
11745.265000	9985.569000	0.607557	19.958114
11745.266000	9986.843000	0.607591	19.953865
11745.267000	9987.367000	0.608059	19.949357
11745.268000	9986.938000	0.608649	19.941583
11745.269000	9986.536000	0.607789	19.955970
11745.270000	9986.867000	0.607599	19.958740
11745.271000	9987.035000	0.607849	19.961592
11745.272000	9987.404000	0.608531	19.962554
11745.273000	9987.322000	0.608731	19.961822
11745.274000	9987.384000	0.608068	19.969931
11745.275000	9987.697000	0.608082	19.968351
11745.276000	9988.034000	0.608845	19.959441
11745.277000	9988.221000	0.608650	19.964873
11745.278000	9988.145000	0.608202	19.972204
11745.279000	9988.066000	0.607934	19.974096
11745.280000	9988.645000	0.608487	19.967871
11745.281000	9988.790000	0.608361	19.973333
11745.282000	9988.743000	0.608849	19.953842
11745.283000	9988.238000	0.608925	19.961768
11745.284000	9988.217000	0.608609	19.963835
11745.285000	9988.760000	0.608890	19.954010
11745.286000	9989.501000	0.608745	19.953499
11745.287000	9988.724000	0.608649	19.944604
11745.288000	9988.434000	0.607998	19.943986
11745.289000	9989.084000	0.607788	19.949067
11745.290000	9989.269000	0.607611	19.952354
11745.291000	9988.939000	0.607880	19.947060
11745.292000	9989.355000	0.607781	19.950821
11745.293000	9989.668000	0.607919	19.946282
11745.294000	9989.853000	0.607604	19.956001
11745.295000	9989.665000	0.608313	19.951355
11745.296000	9989.307000	0.608103	19.959731
11745.297000	9989.852000	0.607205	19.968641
11745.298000	9989.764000	0.607498	19.971136
11745.299000	9989.719000	0.607836	19.968679
11745.300000	9990.124000	0.607300	19.965415
11745.301000	9990.052000	0.606918	19.969618
11745.302000	9990.549000	0.607554	19.961646
11745.303000	9990.695000	0.608040	19.969480
11745.304000	9990.607000	0.608118	19.964682
11745.305000	9990.543000	0.608159	19.958106
11745.306000	9990.904000	0.608504	19.960380
11745.307000	9991.347000	0.608465	19.966627
11745.308000	9990.828000	0.608067	19.965971
11745.309000	9990.940000	0.608236	19.953522
11745.310000	9990.873000	0.608444	19.946748
11745.311000	9991.375000	0.608269	19.955139
11745.312000	9991.842000	0.608434	19.949959
11745.313000	9991.456000	0.608405	19.953941
11745.314000	9991.367000	0.608198	19.958488
11745.315000	9991.872000	0.608739	19.948281
11745.316000	9992.469000	0.608724	19.950242
11745.317000	9992.296000	0.608176	19.956390
11745.318000	9992.127000	0.608429	19.947885
11745.319000	9992.026000	0.607779	19.952995
11745.320000	9992.340000	0.607474	19.954437
11745.321000	9992.775000	0.608181	19.951073
11745.322000	9992.428000	0.608182	19.957107
11745.323000	9992.752000	0.608141	19.952309
11745.324000	9992.608000	0.607724	19.946839
11745.325000	9992.108000	0.607687	19.954544
11745.326000	9993.131000	0.607499	19.963286
11745.327000	9992.971000	0.607280	19.962691
11745.328000	9992.844000	0.606843	19.970823
11745.329000	9993.458000	0.606708	19.965163
11745.330000	9992.844000	0.606845	19.954842
11745.331000	9993.073000	0.606983	19.959716
11745.332000	9992.898000	0.606941	19.976239
11745.333000	9993.784000	0.607559	19.954895
11745.334000	9993.566000	0.607328	19.957389
11745.335000	9993.168000	0.607480	19.954231
11745.336000	9993.972000	0.607859	19.946351
11745.337000	9993.531000	0.607736	19.954124
11745.338000	9993.883000	0.608012	19.942056
11745.339000	9994.053000	0.607852	19.946008
11745.340000	9993.842000	0.607696	19.953713
11745.341000	9993.876000	0.607665	19.951714
11745.342000	9994.457000	0.608136	19.944536
11745.343000	9994.372000	0.608475	19.952568
11745.344000	9994.693000	0.608751	19.946214
11745.345000	9994.473000	0.608220	19.958091
11745.346000	9994.404000	0.608561	19.956543
11745.347000	9994.383000	0.608369	19.960365
11745.348000	9995.384000	0.608120	19.968038
11745.349000	9995.424000	0.608306	19.958053
11745.350000	9995.165000	0.608285	19.958785
11745.351000	9995.539000	0.608223	19.958641
11745.352000	9995.752000	0.608771	19.958465
11745.353000	9995.902000	0.608761	19.963103
11745.354000	9995.857000	0.608970	19.960158
11745.355000	9995.475000	0.608614	19.957229
11745.356000	9995.677000	0.608269	19.970083
11745.357000	9996.362000	0.608407	19.960143
11745.358000	9996.500000	0.608085	19.957397
11745.359000	9995.806000	0.608171	19.952530
11745.360000	9995.807000	0.607443	19.959739
11745.361000	9996.033000	0.607219	19.961928
11745.362000	9996.691000	0.608077	19.959495
11745.363000	9996.833000	0.607912	19.965796
11745.364000	9996.539000	0.607733	19.955909
11745.365000	9996.559000	0.607317	19.962454
11745.366000	9996.575000	0.607585	19.968657
11745.367000	9997.077000	0.607735	19.969450
11745.368000	9996.938000	0.607942	19.964331
11745.369000	9996.584000	0.607438	19.959098
11745.370000	9996.923000	0.606972	19.970953
11745.371000	9997.181000	0.607377	19.960403
11745.372000	9997.668000	0.608003	19.955658
11745.373000	9997.675000	0.608075	19.953522
11745.374000	9997.854000	0.608158	19.951378
11745.375000	9997.603000	0.608568	19.946901
11745.376000	9997.625000	0.608605	19.950852
11745.377000	9998.225000	0.608760	19.950486
11745.378000	9998.345000	0.608179	19.952789
11745.379000	9997.711000	0.608036	19.952652
11745.380000	9997.675000	0.607708	19.954216
11745.381000	9997.989000	0.607091	19.970518
11745.382000	9998.653000	0.608282	19.951821
11745.383000	9998.858000	0.608086	19.965208
11745.384000	9998.803000	0.607799	19.963500
11745.385000	9998.327000	0.607637	19.965804
11745.386000	9998.733000	0.607855	19.961570
11745.387000	9999.509000	0.608261	19.961165
11745.388000	9998.903000	0.607913	19.962462
11745.389000	9998.773000	0.607691	19.962409
11745.390000	9999.577000	0.608018	19.947510
11745.391000	9999.595000	0.607920	19.950448
11745.392000	9999.592000	0.608197	19.954353
11745.393000	9999.752000	0.608279	19.961448
11745.394000	9999.433000	0.607798	19.965933
11745.395000	9999.872000	0.607769	19.962424
11745.396000	9999.684000	0.608340	19.950684
11745.397000	10000.346000	0.607949	19.962096
11745.398000	10000.117000	0.607265	19.960494
11745.399000	10000.032000	0.607305	19.953163
11745.400000	10000.050000	0.607918	19.945146
11745.401000	9999.972000	0.607543	19.955864
11745.402000	9999.913000	0.607380	19.961921
11745.403000	10000.413000	0.607606	19.956939
11745.404000	10000.626000	0.607810	19.958648
11745.405000	10001.143000	0.607381	19.958419
11745.406000	10001.105000	0.607426	19.959602
11745.407000	10001.097000	0.607902	19.953308
11745.408000	10001.294000	0.607823	19.954010
11745.409000	10001.469000	0.607549	19.960075
11745.410000	10000.792000	0.607306	19.960258
11745.411000	10000.692000	0.607615	19.962867
11745.412000	10001.730000	0.607674	19.959701
11745.413000	10001.179000	0.607653	19.957473
11745.414000	10001.892000	0.607618	19.956550
11745.415000	10001.370000	0.607555	19.961936
11745.416000	10001.843000	0.607486	19.958198
11745.417000	10001.830000	0.607559	19.955925
11745.418000	10002.097000	0.607991	19.946763
