Time(s)	Displ(microns)	Friction	EffectiveNormalstress(MPa)
11122.354000	3574.893000	0.495530	29.998113
11122.490000	3575.317000	0.495310	29.996991
11122.626000	3574.913000	0.495977	29.996912
11122.772000	3575.398000	0.495161	29.998294
11122.898000	3575.985000	0.495841	29.999501
11123.034000	3576.511000	0.494979	30.002126
11123.180000	3576.592000	0.495618	30.004274
11123.336000	3576.734000	0.495935	30.005547
11123.472000	3577.038000	0.494931	30.005693
11123.608000	3577.462000	0.495522	30.010121
11123.744000	3577.564000	0.495500	30.009153
11123.900000	3578.049000	0.495457	30.009239
11124.046000	3578.292000	0.496131	30.007382
11124.192000	3578.130000	0.495445	30.008359
11124.318000	3578.737000	0.495889	30.008547
11124.464000	3579.324000	0.495643	30.008369
11124.590000	3579.446000	0.495696	30.003613
11124.736000	3579.567000	0.495504	30.003593
11124.862000	3579.830000	0.495522	30.004448
11124.999000	3580.174000	0.495662	30.003980
11125.135000	3580.275000	0.496107	30.002444
11125.271000	3580.761000	0.496105	30.001554
11125.407000	3581.024000	0.495740	29.998893
11125.541000	3581.773000	0.496191	29.997950
11125.677000	3581.469000	0.495359	29.996973
11125.803000	3581.975000	0.495493	29.994922
11125.958000	3582.481000	0.495420	29.993740
11126.094000	3582.683000	0.495677	29.992125
11126.230000	3582.623000	0.495663	29.990830
11126.366000	3582.946000	0.495758	29.989781
11126.502000	3583.108000	0.495970	29.991432
11126.638000	3583.655000	0.495258	29.991112
11126.774000	3583.634000	0.495348	29.989460
11126.910000	3584.019000	0.495168	29.989092
11127.056000	3583.958000	0.496330	29.988665
11127.192000	3584.909000	0.495759	29.988957
11127.328000	3585.071000	0.495513	29.989085
11127.454000	3585.112000	0.496186	29.989537
11127.590000	3585.010000	0.495567	29.989379
11127.726000	3585.941000	0.495098	29.989280
11127.862000	3585.921000	0.495565	29.990485
11127.998000	3586.508000	0.495672	29.988818
11128.124000	3586.427000	0.495089	29.988547
11128.270000	3587.054000	0.495473	29.988129
11128.396000	3587.176000	0.495307	29.986906
11128.552000	3587.479000	0.495369	29.984609
11128.678000	3587.520000	0.495660	29.985093
11128.814000	3588.106000	0.495692	29.986227
11128.950000	3588.167000	0.496742	29.985597
11129.076000	3588.592000	0.494992	29.986231
11129.212000	3588.815000	0.495258	29.985161
11129.348000	3589.139000	0.495380	29.984845
11129.494000	3589.503000	0.495452	29.986064
11129.630000	3589.563000	0.495446	29.983645
11129.756000	3590.150000	0.495935	29.982003
11129.882000	3589.948000	0.495482	29.982142
11130.008000	3590.515000	0.495047	29.983313
11130.134000	3590.757000	0.495322	29.984917
11130.260000	3590.919000	0.495725	29.988659
11130.396000	3591.304000	0.495536	29.992673
11130.532000	3591.506000	0.494398	29.993982
11130.658000	3591.708000	0.494971	29.995697
11130.794000	3592.012000	0.495387	29.996717
11130.940000	3592.295000	0.495008	29.997728
11131.066000	3592.538000	0.495057	29.998006
11131.202000	3592.781000	0.494489	29.994128
11131.338000	3592.963000	0.495239	29.992389
11131.464000	3593.489000	0.495354	29.992190
11131.600000	3593.428000	0.494787	29.989263
11131.736000	3593.833000	0.494855	29.987697
11131.872000	3593.692000	0.494679	29.987995
11132.008000	3594.501000	0.494919	29.985504
11132.144000	3594.359000	0.494859	29.986776
11132.280000	3595.007000	0.495051	29.990663
11132.426000	3595.412000	0.494610	29.991247
11132.562000	3595.027000	0.495461	29.994328
11132.698000	3595.614000	0.494524	29.998056
11132.834000	3595.958000	0.495014	30.000234
