Time(s)	Displ(microns)	Friction	Normal_stress(MPa)
11640.800000	8603.812000	0.607086	19.968301
11640.900000	8604.109000	0.606654	19.968635
11641.000000	8604.378000	0.607375	19.968509
11641.100000	8604.663000	0.607540	19.968300
11641.200000	8605.003000	0.607958	19.968446
11641.300000	8605.252000	0.607802	19.969070
11641.400000	8605.605000	0.608655	19.968188
11641.500000	8605.877000	0.608284	19.968886
11641.600000	8606.220000	0.607932	19.968178
11641.700000	8606.492000	0.607630	19.968375
11641.800000	8606.787000	0.607284	19.968360
11641.900000	8607.054000	0.607638	19.968859
11642.000000	8607.398000	0.608282	19.968735
11642.100000	8607.685000	0.608209	19.968283
11642.200000	8607.988000	0.607398	19.968324
11642.300000	8608.310000	0.607224	19.968739
11642.400000	8608.566000	0.607714	19.968078
11642.500000	8608.904000	0.608405	19.968725
11642.600000	8609.178000	0.607637	19.968316
11642.700000	8609.552000	0.606904	19.968356
11642.800000	8609.795000	0.606065	19.969053
11642.900000	8610.073000	0.606799	19.968008
11643.000000	8610.395000	0.607417	19.968835
11643.100000	8610.673000	0.607274	19.968481
11643.200000	8610.965000	0.607334	19.968193
11643.300000	8611.282000	0.607764	19.969085
11643.400000	8611.553000	0.607682	19.968160
11643.500000	8611.947000	0.608202	19.968460
11643.600000	8612.153000	0.607899	19.968487
11643.700000	8612.483000	0.607123	19.968081
11643.800000	8612.787000	0.608062	19.969061
11643.900000	8613.088000	0.607618	19.968205
11644.000000	8613.440000	0.607536	19.968330
11644.100000	8613.624000	0.607736	19.968580
11644.200000	8614.034000	0.607252	19.968629
11644.300000	8614.290000	0.606580	19.968180
11644.400000	8614.582000	0.606622	19.968164
11644.500000	8614.895000	0.607018	19.968608
11644.600000	8615.225000	0.607485	19.968028
11644.700000	8615.422000	0.606480	19.968877
11644.800000	8615.812000	0.608338	19.968896
11644.900000	8616.070000	0.607849	19.968160
11645.000000	8616.368000	0.607159	19.968324
11645.100000	8616.740000	0.607489	19.968366
11645.200000	8616.952000	0.607646	19.968252
11645.300000	8617.300000	0.607777	19.968556
11645.400000	8617.605000	0.607638	19.968170
11645.500000	8617.887000	0.607042	19.968183
11645.600000	8618.168000	0.606514	19.968288
11645.700000	8618.477000	0.606908	19.969097
11645.800000	8618.790000	0.606680	19.968017
11645.900000	8619.077000	0.606778	19.968527
11646.000000	8619.421000	0.607025	19.968010
11646.100000	8619.684000	0.605993	19.968014
11646.200000	8620.010000	0.606372	19.968816
11646.300000	8620.218000	0.607982	19.968382
11646.400000	8620.652000	0.608406	19.968419
11646.500000	8620.849000	0.607257	19.968415
11646.600000	8621.165000	0.608050	19.967974
11646.700000	8621.483000	0.608719	19.968630
11646.800000	8621.833000	0.607380	19.967834
11646.900000	8622.088000	0.607920	19.968738
11647.000000	8622.359000	0.606599	19.968451
11647.100000	8622.715000	0.607549	19.968895
11647.200000	8622.992000	0.607228	19.967528
11647.300000	8623.304000	0.606053	19.968508
11647.400000	8623.571000	0.606428	19.967871
11647.500000	8623.886000	0.608297	19.969049
11647.600000	8624.196000	0.607883	19.968388
11647.700000	8624.482000	0.608822	19.968127
11647.800000	8624.776000	0.608129	19.968540
11647.900000	8625.112000	0.607607	19.967777
11648.000000	8625.385000	0.607216	19.968211
11648.100000	8625.706000	0.607533	19.968765
11648.200000	8625.943000	0.607879	19.968545
11648.300000	8626.293000	0.607796	19.967947
11648.400000	8626.564000	0.608263	19.968052
11648.500000	8626.906000	0.609218	19.968481
11648.600000	8627.166000	0.608344	19.968233
11648.700000	8627.478000	0.608331	19.968408
11648.800000	8627.800000	0.607903	19.968402
11648.900000	8628.138000	0.608717	19.968264
11649.000000	8628.346000	0.607034	19.968107
11649.100000	8628.668000	0.607850	19.968225
11649.200000	8628.990000	0.608012	19.968830
11649.300000	8629.284000	0.607199	19.968197
11649.400000	8629.622000	0.607529	19.967782
11649.500000	8629.931000	0.607257	19.968439
11649.600000	8630.147000	0.606625	19.968692
11649.700000	8630.488000	0.607716	19.967740
11649.800000	8630.770000	0.608150	19.968995
11649.900000	8631.107000	0.608498	19.968646
11650.000000	8631.385000	0.607674	19.967922
11650.100000	8631.656000	0.607897	19.968516
11650.200000	8631.977000	0.607404	19.968403
11650.300000	8632.310000	0.608548	19.968050
11650.400000	8632.586000	0.607452	19.968369
11650.500000	8632.916000	0.607516	19.967803
11650.600000	8633.179000	0.607101	19.968103
11650.700000	8633.481000	0.606512	19.968606
11650.800000	8633.817000	0.606993	19.968189
11650.900000	8634.059000	0.607181	19.968122
11651.000000	8634.386000	0.607739	19.968268
11651.100000	8634.714000	0.607564	19.968142
11651.200000	8634.948000	0.607811	19.967863
11651.300000	8635.322000	0.607317	19.968026
11651.400000	8635.561000	0.608398	19.968043
11651.500000	8635.870000	0.607652	19.968620
11651.600000	8636.255000	0.608475	19.967665
11651.700000	8636.465000	0.606771	19.968117
11651.800000	8636.766000	0.608174	19.968023
11651.900000	8637.099000	0.608074	19.967862
11652.000000	8637.409000	0.607362	19.968379
11652.100000	8637.647000	0.607541	19.968225
11652.200000	8637.997000	0.607954	19.968260
11652.300000	8638.270000	0.607073	19.968247
11652.400000	8638.631000	0.608562	19.967960
11652.500000	8638.896000	0.607139	19.967893
11652.600000	8639.149000	0.606873	19.967790
11652.700000	8639.523000	0.607366	19.968360
11652.800000	8639.796000	0.608151	19.968123
11652.900000	8640.097000	0.607389	19.968089
11653.000000	8640.416000	0.606768	19.968293
11653.100000	8640.617000	0.607824	19.967666
11653.200000	8641.009000	0.608398	19.968088
11653.300000	8641.264000	0.607467	19.967796
11653.400000	8641.586000	0.607965	19.967913
11653.500000	8641.945000	0.607918	19.968510
11653.600000	8642.168000	0.607816	19.968195
11653.700000	8642.520000	0.607953	19.967855
11653.800000	8642.729000	0.608212	19.968914
11653.900000	8643.100000	0.607517	19.967639
11654.000000	8643.448000	0.608085	19.967944
11654.100000	8643.674000	0.607778	19.968460
11654.200000	8643.993000	0.608034	19.968099
11654.300000	8644.292000	0.606690	19.967527
11654.400000	8644.565000	0.606877	19.967895
11654.500000	8644.937000	0.607444	19.969219
11654.600000	8645.166000	0.607033	19.967741
11654.700000	8645.466000	0.606350	19.968144
11654.800000	8645.777000	0.607139	19.967966
11654.900000	8646.143000	0.607728	19.967922
11655.000000	8646.379000	0.606840	19.968099
11655.100000	8646.659000	0.607367	19.968082
11655.200000	8647.024000	0.607669	19.968142
11655.300000	8647.275000	0.608393	19.967927
11655.400000	8647.650000	0.607971	19.967941
11655.500000	8647.892000	0.607678	19.968092
11655.600000	8648.176000	0.606993	19.968394
11655.700000	8648.486000	0.608199	19.968218
11655.800000	8648.781000	0.607848	19.967867
11655.900000	8649.153000	0.607060	19.967828
11656.000000	8649.362000	0.606126	19.967723
11656.100000	8649.713000	0.607296	19.967844
11656.200000	8649.958000	0.606537	19.967474
11656.300000	8650.300000	0.607652	19.968208
11656.400000	8650.640000	0.607558	19.968062
11656.500000	8650.873000	0.606857	19.968501
11656.600000	8651.148000	0.608144	19.967582
11656.700000	8651.491000	0.609099	19.967856
11656.800000	8651.801000	0.608579	19.968236
11656.900000	8652.106000	0.607991	19.967749
11657.000000	8652.337000	0.607442	19.967794
